Cargo,Local,Empresa,Descricao,Link
ANALISTA DE BANCO DE DADOS - BV,"Brasília, DF",Buscar Vagas,Sustentação de banco de dados SQL Server;Análise e higienização de base de dados.Requisitos: Formação de nível superior na área de TI.,https://tinyurl.com/y4n4zjez
Analista de Dados Sr,"São Paulo, SP",Vivo (Telefônica Brasil),"Liderar o desenvolvimento de estudos e análises para apoiar a tomada de decisão da empresa, por meio da extração de bases de Dados e da criação e atualização de…",https://tinyurl.com/y2p8lr7a
Analista SR de Dados - Fintech Operations,"São Paulo, SP",Mappit,Conhecimento básico de banco de dados é um diferencial.Realização de treinamentos e confecção de materiais de apoio.Conhecimento do mercado de pagamentos.,https://tinyurl.com/y32z68xv
Analista de Dados Sr,"Curitiba, PR",Grupo Boticário,"Experiência com modelagem de bases de dados, transacionais e analíticas;Realizar interface com áreas técnicas e de negócios, afim de mapear necessidades e…",https://tinyurl.com/y5dnlcj7
Analista de Desenvolvimento de Software (Engenharia de Dados...,"Curitiba, PR",Ewave do Brasil,"Criação, modelagem e manutenção de banco de dados SQL e NoSQL;Quer atuar em empresa inovadora de soluções de monitoramento de trânsito e veículos?",https://tinyurl.com/y4axfo78
Analista de Sistemas PL (foco em administração de dados),"Aracaju, SE",GRUPO TIRADENTES,O foco principal será o de liderar iniciativas de Administração de dados.Analista de Sistemas PL (foco em administração de dados).,https://tinyurl.com/yyehmyhs
Cientista/Analista de Dados,"Rio de Janeiro, RJ",Morning Star Consulting,"Limpeza, organização, transformação e armazenamento de dados;Previsão de correlação entre amostras.Classificação de textos em linguagem natural;",https://tinyurl.com/yxp4kmo5
Analista de Infraestrutura Banco de Dados Pleno,"Niterói, RJ",Central IT,Experiência em Administração e sustentação de banco de dados;Analista de Infraestrutura Banco de Dados Pleno.Tratamento de Dados para integração de sistemas.,https://tinyurl.com/y35xm7jc
Wavy | Analista de banco de dados Sr,"São Paulo, SP",Wavy,"Ajuda o time de banco de dados nas tarefas do dia a dia que incluem monitoramento, migrações, correções de scripts de automação, melhorias de perfomance,…",https://tinyurl.com/yxd4gskj
ANALISTA DE REDE E COMUNICAÇÃO DE DADOS - SUPERIOR COMPLETO,"Porto Alegre, RS",None,"Atividades: Suporte técnico informático, desempenhando atividades como manutenção de equipamentos, instalação e configuração de software e sistemas utilizados…",https://tinyurl.com/y2f9t4jm
ANALISTA DE BANCO DE DADOS III (cód: 638),"Vitória, ES",Recrutamento externo,"Realização de instalações, manutenções corretivas e preventivas, aplicação de patchs e análise de performance.Ensino Superior completo na área de Informática.",https://tinyurl.com/y6nzjssa
Analista de Processamento de Dados - PHP - Sênior,Remoto,Turim,"Plano de Carreira, Plano de Saúde para residentes de SP.Habilidades interpessoais de escrita e de comunicação verbal;Domínio de PHP, SQL e Excel;",https://tinyurl.com/y4rakw9u
Analista de Infraestrutura de TI PL (Banco de Dados),"Rio de Janeiro, RJ",Wilson Sons,Administrar e suportar as rotinas de backup de banco de dados;Experiência em administração do ambientes de banco de dados.Conheça Melhor a Wilson Sons!,https://tinyurl.com/y6pkmjjl
Analista de Segurança de Dados,"Brasília, DF",MIRANTE TECNOLOGIA,"OWASP, OWASP/MAVS e SDL.Certificação Microsoft Certified Azure Security Engineer Associatee/ou Oracle Certified Associate, Java SE 8 Programmer e/ou Advanced…",https://tinyurl.com/y3xayspy
Analista de Dados,"Maringá, PR",Dicomp Distribuidora,"Apoiar na localização e definição de oportunidades de melhoria de processos.Identificar, analisar e interpretar tendências ou padrões em conjuntos de dados.",https://tinyurl.com/y36cpaeu
Analista de Dados,"Maringá, PR",Dicomp,"Se você tem espírito inovador e busca oportunidades para desenvolver seu potencial em uma empresa de crescimento sólido, nos envie seu currículo, para que o…",https://tinyurl.com/y2jmx5wk
ANALISTA ENGENHEIRO DE DADOS SÊNIOR,"São Paulo, SP",Brasilprev,"Experiência em: Análise e programação de demandas de modelagem e extração de dados.Venha fazer parte do nosso time de tecnologia, onde você terá com o objetivo…",https://tinyurl.com/y4lqkrhh
Analista de Dados,"Belo Horizonte, MG",JUSTWEB TELECOMUNICAÇÕES,"Ter conhecimento de banco de dados.Fazer extração de informações de banco de dados postgresql, mysql, sql, trazer ao excel.Tipo de vaga: Tempo Integral.",https://tinyurl.com/y2n7f9cx
Analista de Suporte de Dados,"São Paulo, SP",Santa Marcelina Educação,"Gerar dados que contribuam para tomada de decisões estratégicas da diretoria;Coletar, compilar, analisar, normalizar dados, integrar múltiplas fontes de dados;",https://tinyurl.com/yy8vxda5
Analista de Qualidade de Dados Sr,"São Caetano do Sul, SP",ViaVarejo,Vivência com ferramentas de mercado para implantação de qualidade de dados ou de gestão de dados mestres (MDM).Sua contribuição para algo maior é:,https://tinyurl.com/y2gtksod
ANALISTA DE DADOS E NEGÓCIO (FARMACÊUTICO) - BV,"Brasília, DF",Buscar Vagas,"Realizar análise, atualização e manutenção periódica de insumos faturáveis dos materiais e medicamentos, através dos sistemas de estoque e faturamento.",https://tinyurl.com/yxt9ma2s
Analista de Dados,"São Paulo, SP",Itaú Unibanco,"Condução de projetos de dados.O analista irá conduzirá frentes estratégicas de dados, sendo referência para o time na organização das atividades e no…",https://tinyurl.com/y6c79z3d
Analista de Eng. de Dados,"São Paulo, SP",PayGo Pagamentos,Melhorar a qualidade e eficiência de processos de envio e transformação de dados;Experiência técnica em modelagem de dados e técnicas de segmentação;,https://tinyurl.com/y3yc4ya5
Analista De Rede E Comunicação De Dados – Porto Alegre – RS...,"Porto Alegre, RS",Buscar Vagas,"Atribuições: Suporte técnico informático, desempenhando atividades como manutenção de equipamentos, instalação e configuração de software e sistemas utilizados…",https://tinyurl.com/y36kdvo3
ANALISTA DE DADOS PLENO,"São Paulo, SP",Wyser,"O profissional será responsável pela estruturação dos dados da área de Qualidade e Performance, de modo a estruturar novos bancos de dados e criar relatórios…",https://tinyurl.com/y2ybqhgr
Analista De Rede E Comunicação De Dados - Porto Alegre - RS,"Porto Alegre, RS",Líder e Gestão,"Titulo: Analista de Rede e Comunicação de Dados - Porto Alegre - RSDescricao: Suporte técnico informático, desempenhando atividades como manutenção de…",https://tinyurl.com/yxka5lok
Analista de Governança de Dados Sênior,"São Paulo, SP",5A Consultoria,"Construção de scripts para replicação e integração de dados e experiência em.O profissional precisa ter prática em modelagem de dados Relacional,.",https://tinyurl.com/yynah42b
Analista De Dados - DV,"Santa Bárbara do Sul, RS",Divulga Vagas,Pano de Saúde Estadual; - Divulga Vagas.Produzir conteúdo para os diversos canais digitais; A combinar - Vale Transporte;,https://tinyurl.com/y2desrtj
Analista de Suporte de Banco de Dados Oracle,"Fortaleza, CE",Camarmo Recrutamento e Seleção,"Apoiar os administradores de dados, na utilização dos bancos de dados MICROSOFT SQL SERVER, ORACLE RAC, MYSQL e POSTGRES em conformidade com as normas de…",https://tinyurl.com/yy7xuq6u
Analista PL | Qualidade de Dados | RJ (1 vaga),"Rio de Janeiro, RJ",Rede D'Or São Luiz,"Resumo das principais atividades: Curador de dados de referencias para os sistemas hospitalares: plano de saúde, especialidades médicas, exames de diagnóstico,…",https://tinyurl.com/y3nx3tph
Analista de Desenvolvimento de Software (Dados),"Curitiba, PR",Pumatronix Equipamentos Eletrônicos Ltda,"Criação, modelagem e manutenção de banco de dados SQL e NoSQL;Desenvolvimento de pipelines e ferramentas para a ingestão, transformação, busca e análise de…",https://tinyurl.com/y344lff6
Analista de Dados - Excel,"Santana de Parnaíba, SP",Share RH,Realizar integração a de informações em banco de dados;Irá realizar a modelagem de dados dentro do Excel.Estamos à procura de um candidato para preencher esta…,https://tinyurl.com/y6pgdr3a
Analista de Dados - Pleno,Remoto,A3Data,Experiência com Análise de Dados e formulação de problemas de dados.Experiência com implantação de arquitetura de dados e ferramentas de ETL.,https://tinyurl.com/y4bp2j34
Analista de Processamento de Dados PHP,Remoto,Turim,A Turim é uma empresa de tecnologia especializada em soluções de inteligência fiscal.Ter habilidade para organizar arquivos de formatos diversos;,https://tinyurl.com/y4rv46ee
Analista de Dados de Produtos de Crédito PF,"Porto Alegre, RS",Sicredi,"Experiência em extração e manipulação de dados a partir de planilhas e bases de dados;Conhecimento em linguagem de programação de base de dados, como SAS Guide…",https://tinyurl.com/y3jbsm4d
Analista de Dados - Data Sheet,"Santana de Parnaíba, SP",Share RH,Realizar integração de informações em banco de dados;Irá realizar a modelagem de dados dentro do Google Data Sheet.Sólidos conhecimentos em Google Data Sheet;,https://tinyurl.com/yybkjb6x
Analista de Rede e Comunicação de Dados - Boa Vista,"Porto Alegre, RS",Mediartech,"Empresa de resolução de conflitos admite Analista de Rede e Comunicação de Dados em Porto Alegre (Boa Vista) para atuar em Tempo integral, 08h às 17h.",https://tinyurl.com/y5x2tdb8
ANALISTA DE CIÊNCIA DE DADOS SÊNIOR,"Porto Alegre, RS",Agibank,Desenvolver e validar métodos de enriquecimento de dados;Conhecimento de trabalho ou estudo em linguagens de manipulação de dados como SQL e NoSQL;,https://tinyurl.com/yys4832m
Analista de Rede e Comunicação de Dados - PORTO ALEGRE - 1 V...,"Porto Alegre, RS",None,"Salário de R$ 1.900,00.Requisitos: Formação na área de TI.Jornada de Trabalho: Das 08h às 17h.Enviar currículo informando no assunto do e-mail a vaga de…",https://tinyurl.com/yy89v838
Analista Banco de Dados,"São Luís, MA",Pulse,Noções de modelagem de dados.Desejável experiência com manutenção de bancos de dados:Profissional responsável pela administração e manutenção de banco de…,https://tinyurl.com/yxpawyq6
PROGRAMADOR/ANALISTA DE DESENVOLVIMENTO EM BANCO DE DADOS,Brasil,Place RH,"Conhecimento em SQL e banco de dados relacional (de preferência Oracle).Experiência mínima de 2 anos atuando em análise, desenvolvimento e manutenção de…",https://tinyurl.com/y4l9sx8u
Analista De Dados - RH - DV,"Igrejinha, RS",Divulga Vagas,"Experiência em manipulação de dados.Estruturação de dashboard, gerenciamento de relatórios;Desempenhar atividades com alto volume de tarefas analíticas e de…",https://tinyurl.com/y5mg2bpj
Analista de Suporte Banco de Dados Oracle (SCA),"Fortaleza, CE",Lanlink Informática,Apoiar a CONTRATANTE na proposição de políticas de backups de banco de dados;Orientar usuários na utilização de ferramentas de modelagem de dados;,https://tinyurl.com/y5ch52ha
Estágio – Analista De Dados – Porto Alegre – RS - BV,"Porto Alegre, RS",Buscar Vagas,"> Alimentar banco de dados com novas informações;Cursando alguma das áreas: Técnico de Informática, Graduação em: Análise de Sistemas Sistemas de Informação,…",https://tinyurl.com/y4v6zw8y
Analista de Dados,"São Paulo, SP",UZZO Pay,". Experiência com tratamento, análise e extração de dados internos e externos para geração de base de dados e consolidação de relatórios;",https://tinyurl.com/yyoodmnp
Analista de Dados (Data Analytics) Sr.,Remoto,I-cherry,"Criação de mapas de métricas e planos de mensuração;Experiência no manuseio e análise de dados.Conhecimentos em Google Analytics, Adobe Analytics ou outras…",https://tinyurl.com/y3wyz5jm
Analista de dados / Customer Success,"São Paulo, SP",Experian,Realizará a gestão de escopo de projetos dos clientes que consumirem os Produtos de Marketing Services;Vivência em Customer Success/Pós-venda com experiência…,https://tinyurl.com/yyqfx3xn
Analista de Dados (Compras/Merchandising),"São Paulo, SP",SALTO,"Você será responsável por extrair informações das bases de dados provenientes de diversos relatórios e sistemas, desenvolvendo dashboards para tomada de decisão…",https://tinyurl.com/y4efrqa4
Analista de Banco de Dados Sênior,"Belo Horizonte, MG",AeC Centro de Contatos,"Manutenção, performance de bancos de dados e atividades relacionadas a administração de banco de dados;Solução de problemas de banco de dados complexos;",https://tinyurl.com/y58dmuyl
Analista de Dados Sr.,"São Paulo, SP",Robert Half,"Trabalhará em contato com várias unidades de negócios, em squads e juntamente com engenheiros de dados, product owners, cientistas de dados, outros analistas de…",https://tinyurl.com/y2rak9wx
Analista de Banco de Dados,"Campinas, SP",SSYS Sistemas,"Banco de dados Oracle (Obrigatório).Experiência mínima de 6 anos em bancos de dados Oracle, nas versões de Oracle 12, 18, 19.",https://tinyurl.com/y42az4ux
Analista de Dados de Marketing Sênior,"Osasco, SP",iFood,Capacidade de otimização de processos operacionais através de tech;Estruturar processos de análises de rotina para suporte ao time;Você tem fome de quê?,https://tinyurl.com/yxl4ozyx
Analista de Qualidade Assegurada (foco em Dados),"Interior de São Paulo, SP",Mappit,Processo de Fabricação de Latas e Tampas de Alumínio.Garantir a governança e atualização dos dados de planos de ações para as não conformidades de qualidade …,https://tinyurl.com/yxuzw8mm
Analista de Banco de Dados Junior,Brasil,Avec,"Mapeamento do banco de dados e sua exportação.Conhecimento de Banco de Dados relacional MySQL.Domínio de linguagem sql para instruções de select, update,…",https://tinyurl.com/y3yfeydl
Analista de Dados - Treinamento,Brasil,99,Criação de controles de dados para acompanhamento de OKRs.Criação de controles de dados para acompanhamento de KPIs.Conhecimento em análise de dados amostral.,https://tinyurl.com/y4l6gmm9
Analista de Dados de Cartões,"Porto Alegre, RS",Sicredi,Experiência em extração de dados a partir de planilhas e bases de dados.Extrair e interpretar dados dos produtos de cartões.,https://tinyurl.com/y5hdcgen
Analista SR | Qualidade de Dados | RJ,"Rio de Janeiro, RJ",Rede D'Or São Luiz,"Resumo das principais atividades: Fazer a interface entre as diversas demandas das áreas de projetos da Transformação Digital e Tecnologia, com a estruturação…",https://tinyurl.com/y26z6wlf
Pessoa Analista de Dados (Sales Operations),Remoto,Involves,"Validação de dados, análise de dados, e geração de insights;Bons conhecimentos de KPIs de funil de vendas e métricas SaaS;Realização de estudos ad hoc.",https://tinyurl.com/yxuu2gmw
Analista de Dados Sênior,Remoto,Supero Tecnologia,Será sua responsabilidade a construção e manutenção de pipelines de dados; Definição e implementação de arquiteturas escaláveis de processamento de dados;…,https://tinyurl.com/y3mxahc4
Analista de Dados - Data Lab,"Porto Alegre, RS",Lojas Renner,Utilizar conhecimento de programação e pensamento analítico para cruzar grandes quantidades de dados de várias fontes e distinguir hipóteses de fatos por meio…,https://tinyurl.com/y4myqcr8
Analista de Banco de Dados Júnior temporário,"Barueri, SP",Funcional Health Tech,"Atuar na captação, validação e inventário de bases de dados;Conhecimento em análise de dados.Nossa área de Health Analytics é responsável por cuidar da parte…",https://tinyurl.com/y4gcbkar
ANALISTA DE INTELIGÊNCIA DE DADOS GO,"Goiânia, GO",Desenrola,. Criação e manutenção de Dashboard/Relatórios para monitoramento de indicadores das áreas e de negócio (em Power BI);O que esperamos de você:,https://tinyurl.com/y3vuvhtn
Analista Banco de Dados Jr- Aplicação e Produção,"São Paulo, SP",4Map,Tunning de banco de dados.Atuação em rotinas de suporte a operação (operação via banco de dados).O (Em resumo senso de propriedade é o que temos hoje no time…,https://tinyurl.com/y3ahcsl9
Analista de Planejamento PL (Análise de dados),"São Paulo, SP",GPA,Análise e Consolidação de banco de dados;Domínio em Análise de Banco de Dados.Ter noções de análise de mercado no segmento do Varejo;,https://tinyurl.com/y2f45x55
Analista de Dados,"Curitiba, PR",Pontomais,"Para ter um bom desempenho nessa função você precisa de um olhar bem refinado para detalhes, com experiência na função de analista de dados, entendimento de…",https://tinyurl.com/yxcazf2b
Analista Sênior de Proteção de Dados,"São Paulo, SP",Braskem,"Avaliar e participar da implementação de ferramentas globais de gestão de mapeamento de dados pessoais, canal de atendimento de direitos dos titulares, bem como…",https://tinyurl.com/y4dqfgsu
Analista de Dados Sr,"Rio de Janeiro, RJ",B2W Digital,"Facilidade na compreensão de regras de negócio com o objetivo de propor soluções de BI;Extrair, transformar e analisar dados em informações úteis para as áreas…",https://tinyurl.com/y62v7q6m
Analista de Dados ( Financeiro )/Data Analyst (Financial),"Belo Horizonte, MG",Hotmart,Experiência em análise de dados para geração de relatórios e acompanhamento dos indicadores da diretoria de Operações Financeiras;.O que esperamos de você?,https://tinyurl.com/yyo4dp4t
